"SubscriptionName","TotalSubscriptionsToDate","NewSubscriptionsToDate","NewSubscriptionsThisPeriod","DeletedSubscriptionsToDate","DeletedSubscriptionsThisPeriod","BulletinsSentThisPeriod","TotalBulletinsSentToDate"
"News","13126","37985","0","24859","906","5","598"
"Cylchlythyr Rheoleiddio ein Dyfodol (Cymraeg) / RoF newsletter in Welsh","2484","3273","2849","789","719","7","10"
"Regulating our Future newsletter","3983","4770","3845","787","707","7","9"
"Lupin SMS","23932","45694","38044","21762","14865","1","3"
"Soya SMS","23960","45554","38022","21594","14845","18","37"
"Sesame Seeds SMS","23997","45667","38013","21670","14840","1","12"
"Peanuts SMS","24641","47128","39398","22487","15664","5","22"
"Mustard SMS","23914","45486","38028","21572","14851","12","38"
"Molluscs SMS","23958","45555","38068","21597","14870","0","4"
"Milk SMS","24113","45753","38093","21640","14848","46","93"
"Fish SMS","23938","45527","38022","21589","14855","5","12"
"Celery SMS","25595","49153","38003","23558","14858","4","14"
"Sulphur dioxide (sulphites)","9544","11294","6332","1750","1161","10","24"
"Crustaceans SMS","23968","45568","38053","21600","14863","1","11"
"Eggs SMS","24035","45814","38079","21779","14859","16","37"
"Sulphur dioxide (sulphites) SMS","23957","45559","38044","21602","14867","8","24"
"Nuts SMS","27485","56661","39386","29176","15689","14","32"
"Gluten SMS","24185","45950","38092","21765","14869","30","62"
"Molluscs","9281","11009","6194","1728","1142","2","4"
"Milk","9978","11750","6569","1772","1173","42","91"
"Lupin","9277","11004","6196","1727","1141","3","4"
"Fish","9407","11152","6290","1745","1155","6","9"
"Crustaceans","9347","11079","6220","1732","1142","4","10"
"Celery","9247","48954","6195","39707","1143","4","9"
"Gluten","10385","12181","6574","1796","1180","32","65"
"Soya","9521","11256","6344","1735","1142","18","39"
"Sesame seeds","9406","11127","6276","1721","1140","3","13"
"Peanuts","9929","11680","6529","1751","1155","8","25"
"Nuts","10005","11771","6571","1766","1169","16","37"
"Mustard","9251","10980","6195","1729","1142","12","39"
"Eggs","9670","11423","6423","1753","1163","18","35"
"Food alerts by Email","75573","92556","22928","16983","6189","50","190"
"Allergy alerts by Email","32503","41346","0","8843","1894","3","152"
"Vacancies","17616","22501","3068","4885","1398","19","65"
"ACT e-newsletter","7636","10794","3365","3158","1187","0","15"
"Research reports","6946","9551","3205","2605","960","0","13"
"General news","43760","57979","15439","14219","4577","79","267"
"Food alerts","27254","74885","26326","47631","4810","46","215"
"Help shape our policies","7769","11684","2738","3915","1038","8","68"
"Ymgynghoriadau yn Gymraeg / Welsh language consultations","6662","16408","1972","9746","1124","7","25"
"Wales consultations","7744","24383","2189","16639","1168","7","46"
"Northern Ireland consultations","7715","24279","2174","16564","1136","6","55"
"England consultations","11226","28429","2797","17203","1316","8","44"
"UK-wide consultations","12728","30386","3073","17658","1435","0","17"
"Board meetings","7253","17107","2330","9854","1010","4","46"
"Allergy alerts","3036","54456","0","51420","27","0","327"
"Science and policy news","29392","58910","4725","29518","2723","20","171"
"Enforcement and regulation news","44031","69858","12166","25827","3964","3","242"
"Business and industry news","41721","68460","10338","26739","3879","2","248"
"Newyddion yn Gymraeg / News in Welsh","6776","13117","2826","6341","1270","46","191"
"Wales news","9087","16412","3178","7325","1416","99","209"
"Northern Ireland news","8792","15910","3119","7118","1382","88","211"
